,Adresse,City,E10,Gazole,Postal_Code,SP95,SP98,iD
0,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,Not available,"1,194",01000,"1,351","1,389",01
1,16 Avenue de Marboz,BOURG-EN-BRESSE,Not available,"1,194",01000,"1,351","1,389",01
2,20 Avenue du Maréchal Juin,Bourg-en-Bresse,Not available,"1,330",01000,"1,460",Not available,01
3,642 Avenue de Trévoux,SAINT-DENIS-LèS-BOURG,Not available,Not available,01000,Not available,Not available,01
4,1 Boulevard John Kennedy,BOURG-EN-BRESSE,Not available,"1,229",01000,"1,409","1,429",01
5,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,"1,299","1,194",01000,"1,351","1,389",01
6,Bd Charles de Gaulle,BOURG-EN-BRESSE,"1,299","1,194",01000,"1,351","1,389",01
7,56 Rue du Stand,Bourg-en-Bresse,"1,299","1,194",01000,"1,351","1,389",01
8,Boulevard Charles de Gaulle,BOURG-EN-BRESSE,Not available,Not available,01000,Not available,Not available,01
9,"642, AVENUE DE TREVOUX",ST DENIS LES BOURG,"1,400","1,310",01000,Not available,"1,510",01
10,BOULEVARD CHARLES DE GAULLE,BOURG EN BRESSE,"1,299","1,194",01000,Not available,"1,389",01
11,LE GRAND RIVOLET,MONTCEAUX,"1,299","1,189",01090,Not available,"1,376",01
12,ROUTE DE DORTAN,Arbent,"1,359","1,189",01100,"1,369",Not available,01
13,Rue Brillat-Savarin,OYONNAX,Not available,"1,192",01100,"1,369","1,399",01
14,174 Cours de Verdun,Oyonnax,Not available,Not available,01100,Not available,Not available,01
15,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,Not available,"1,289",01100,"1,438","1,479",01
16,74 Rue Jules Michelet,Oyonnax,Not available,"1,189",01100,"1,369",Not available,01
17,174 COURS DE VERDUN,OYONNAX,"1,384","1,279",01100,Not available,"1,494",01
18,Rue Massonod,HAUTEVILLE-LOMPNES,Not available,"1,205",01110,"1,365","1,395",01
19,AUTOROUTE A 42,DAGNEUX,Not available,Not available,01120,Not available,Not available,01
20,AUTOROUTE A 42 AIRE DE DAGNEUX,Montluel,Not available,Not available,01120,Not available,Not available,01
21,Cours de la Portelle,MONTLUEL,"1,294","1,178",01120,Not available,"1,372",01
22, Route de Thil,LA BOISSE,"1,294","1,178",01120,"1,344","1,372",01
23,521 ROUTE NATIONALE,La Boisse,"1,414","1,309",01120,Not available,"1,524",01
24,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,"1,489","1,384",01120,Not available,"1,595",01
25,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,"1,479","1,369",01120,Not available,"1,589",01
26,ROUTE DE LA CLUSE,Nantua,Not available,Not available,01130,Not available,Not available,01
27,Moulin de Charix,LALLEYRIAT,Not available,"1,279",01130,"1,434","1,466",01
28,RTE DE LA CLUSE RN 84,NANTUA,"1,312","1,205",01130,Not available,"1,394",01
29,Chemin des Huguets,Saint-Didier-sur-Chalaronne,Not available,"1,215",01140,"1,399","1,439",01
30,8 RUE DE L'INDUSTRIE,LAGNIEU,Not available,"1,189",01150,"1,369","1,418",01
31, Avenue Charles de Gaulle,SAINT-VULBAS,"1,399","1,279",01150,"1,389","1,509",01
32,Route de bourg,PONT-D'AIN,Not available,Not available,01160,Not available,Not available,01
33,Le Pont Rompu - RD 1084,PONT-D'AIN,"1,320","1,200",01160,"1,360","1,390",01
34,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,"1,299","1,189",01160,"1,349",Not available,01
35,RTE DE BOURG RN 75,PONT D'AIN,"1,299","1,197",01160,Not available,Not available,01
36,RN5,SéGNY,Not available,"1,188",01170,"1,335","1,380",01
37,Lieu-Dit les Vertes Campagnes,GEX,"1,335","1,235",01170,"1,385","1,419",01
38,Route de Divonne les Bains,Gex,"1,315","1,221",01170,Not available,"1,393",01
39, Avenue des Tilleuls,GEX,Not available,"1,258",01170,"1,407","1,437",01
40,PAE Pont de Vaux Est,SAINT BéNIGNE,Not available,"1,192",01190,"1,344","1,391",01
41,69 Rue de la République,Bellegarde-sur-Valserine,Not available,"1,216",01200,"1,356","1,383",01
42,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,"1,310","1,195",01200,"1,345",Not available,01
43,79 RUE DE LA REPUBLIQUE,BELLEGARDE,Not available,Not available,01200,Not available,Not available,01
44, Chemin de la Brunette,FERNEY-VOLTAIRE,Not available,"1,223",01210,"1,375","1,405",01
45,ROUTE DE GENEVE,FERNEY-VOLTAIRE,"1,349","1,242",01210,Not available,"1,459",01
46,Route de Meyrin,FERNEY-VOLTAIRE,"1,295","1,188",01210,"1,335",Not available,01
47,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,Not available,"1,237",01220,"1,379","1,407",01
48,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,Not available,"1,260",01230,"1,410","1,460",01
49,RD 1504,Torcieu,Not available,"1,270",01230,"1,420",Not available,01
50,A 40 - AIRE DE BOURG JASSERON,Jasseron,Not available,Not available,01250,Not available,Not available,01
51,AIRE DE BOURG TEYSONGUE A 40,Ceyzériat,"1,494","1,374",01250,Not available,Not available,01
52,route de la Vavrette,TOSSIAT,Not available,"1,259",01250,"1,419","1,449",01
53,AUTOROUTE A40 - AIRE DE BOURG JASSERON,CEYZERIAT,"1,484","1,374",01250,Not available,"1,594",01
54, Grande Rue,COLIGNY,Not available,Not available,01270,Not available,Not available,01
55,Route de Chatillon Sur Chalaronne,LAIZ,"1,129","1,190",01290,Not available,"1,380",01
56,Boulevard de Verdun,Belley,Not available,"1,211",01300,"1,381","1,428",01
57, Rue Mante,BELLEY,Not available,"1,207",01300,"1,370",Not available,01
58,RN 504 - ZI de Penaye ,Chazey-Bons,Not available,"1,196",01300,"1,343","1,360",01
59,1123 Route de Mâcon,POLLIAT,"1,409","1,274",01310,Not available,"1,519",01
60,Lieu-dit Logis-Neuf,Confrançon,Not available,"1,195",01310,"1,335","1,375",01
61,Grande Rue,CHALAMONT,Not available,"1,330",01320,"1,490",Not available,01
62,Chemin du Petit Étang,Chalamont,"1,339","1,229",01320,"1,389",Not available,01
63,"245, Route du 3 Septembre 1944",Ambérieux-en-Dombes,Not available,"1,309",01330,"1,459","1,529",01
64,zac de la tuilerie,VILLARS-LES-DOMBES,"1,309","1,179",01330,"1,349","1,399",01
65,Rue des Luyers,MONTREVEL-EN-BRESSE,Not available,"1,190",01340,"1,347","1,388",01
66,RN.75,Malafretaz,"1,409","1,294",01340,Not available,"1,519",01
67,Les Cézilles,Jayat,Not available,"1,190",01340,"1,347","1,388",01
68,771 Route de Bourg,ATTIGNAT,Not available,"1,289",01340,"1,423","1,479",01
69, Avenue Jean Falconnier,CULOZ,Not available,"1,165",01350,"1,329","1,359",01
70,PARC D'ACTIVITE DES FOURS,Béon,"1,266","1,162",01350,"1,324","1,337",01
71, Route de Lyon,BALAN,Not available,"1,289",01360,"1,449","1,499",01
72, Route de Strasbourg,SAINT-ÉTIENNE-DU-BOIS,Not available,"1,286",01370,"1,458","1,484",01
73,1 Route du Bourg,BAGE LA VILLE,"1,315","1,189",01380,"1,349",Not available,01
74,Allées des Marronniers,Saint-André-de-Corcy,Not available,"1,186",01390,"1,353","1,399",01
75,Z.I. DE CURE,Saint-André-de-Corcy,"1,395","1,289",01390,Not available,"1,505",01
76,AIRE DE MIONNAY OUEST GALMIER A46,MIONNAY,Not available,Not available,01390,Not available,Not available,01
77,Aire de Mionnay Est Chatanay,Mionnay,Not available,Not available,01390,Not available,Not available,01
78,AIRE DE MIONNAY EST CHATANAY AUTOROUTE A 46,MIONNAY,"1,508","1,398",01390,Not available,"1,628",01
79,AIRE DE MIONNAY OUEST SAINT GALMIER,MIONNAY,"1,504","1,398",01390,Not available,"1,654",01
80,AVENUE MARECHAL FOCH,CHATILLON-SUR-CHALARONNE,Not available,"1,190",01400,"1,347","1,387",01
81,AVENUE PIERRE MARCAULT,CHATILLON SUR CHALARONNE,Not available,"1,388",01400,"1,588",Not available,01
82,ROUTE DE MARLIEUX,CHATILLON SUR CHALARONNE,"1,298","1,178",01400,"1,347","1,387",01
83,AUTOROUTE A 40 - SENS PARIS PROV,CEIGNES,Not available,Not available,01430,Not available,Not available,01
84,AIRE DE CEIGNES HAUT BUGEY,CEIGNES,"1,528","1,398",01430,Not available,"1,628",01
85,Chemin de l'Égalité,Maillat,"1,432","1,298",01430,"1,463",Not available,01
86,AUTOROUTE A40 - AIRE DE CEIGNES CERDON,CEIGNES,"1,464","1,354",01430,Not available,"1,574",01
87,1029 ROUTE DE MARBOZ-LOUHANS,VIRIAT,Not available,"1,320",01440,"1,450",Not available,01
88, Route de Strasbourg,VIRIAT,"1,399","1,289",01440,Not available,"1,509",01
