,Adresse,City,E10,Gazole,Postal_Code,SP95,SP98,iD
89,261 Route de Paris,Viriat,Not available,"1,249",01440,"1,409","1,439",01
90,68 Rue du Jura,MONTREAL-LA-CLUSE,Not available,"1,205",01460,"1,365","1,389",01
91,Route de Berthiand,Nurieux-Volognat,Not available,"1,290",01460,"1,430",Not available,01
92,Rue de l'industrie ,Port,"1,300","1,209",01460,"1,355","1,389",01
93,LES GRANGES DE MONTAGNIEU,Montagnieu,Not available,Not available,01470,Not available,Not available,01
94, Rue des Verchères,BRIORD,"1,308","1,199",01470,Not available,"1,391",01
95, Rue Édouard Herriot,JASSANS-RIOTTIER,Not available,"1,195",01480,"1,354","1,425",01
96,Rue Alexandre Bérard,Ambérieu-en-Bugey,Not available,"1,189",01500,"1,349","1,418",01
97,"550, Avenue Jean Mermoz",CHâTEAU-GAILLARD,Not available,"1,349",01500,"1,489",Not available,01
98,15 Avenue de la Libération,AMBéRIEU-EN-BUGEY,Not available,"1,349",01500,"1,489","1,549",01
99,"550, RUE JEAN MERMOZ",CHâTEAU-GAILLARD,Not available,"1,349",01500,"1,489",Not available,01
100,CENTRE COMMERCIAL DE L'AVIATIONRAIS,Ambérieu-en-Bugey,"1,299","1,189",01500,"1,349",Not available,01
101,Chef Lieu,Virieu-le-Grand,Not available,"1,300",01510,"1,490","1,520",01
102,"1 rue des champs ""les terrasses""",Artemare,Not available,"1,189",01510,"1,323","1,348",01
103,Route de Neuville,VONNAS,Not available,"1,179",01540,"1,335","1,363",01
104,za les grands varays rte de neuville,Vonnas,"1,298","1,199",01540,"1,341",Not available,01
105,Route de Pont-de-Vaux,Saint-Trivier-de-Courtes,Not available,"1,191",01560,"1,343","1,382",01
106, Grande Rue,FEILLENS,Not available,"1,197",01570,"1,349",Not available,01
107,Rue du 21 Juillet 1944,DORTAN,Not available,"1,299",01590,"1,429","1,466",01
108,ZAC sous la Combe,LAVANCIA-EPERCY,"1,335","1,199",01590,"1,369",Not available,01
109,Rue du Figuier,MIRIBEL,Not available,"1,186",01600,"1,344","1,372",01
110,324 Route de Lyon,TREVOUX,Not available,"1,184",01600,"1,339","1,369",01
111,Avenue Lavoisier,MASSIEUX,"1,296","1,179",01600,Not available,"1,375",01
112,RUE DE GENEVE -,SAINT-GENIS-POUILLY,Not available,"1,266",01630,"1,412",Not available,01
113,148 Rue des Chalets,SAINT-GENIS-POUILLY,"1,295","1,188",01630,Not available,"1,365",01
114,ZA DU PRE MUNNY,PéRON,"1,295","1,188",01630,Not available,"1,365",01
115,573 route de Genève,Saint-Jean-le-Vieux,Not available,"1,319",01640,"1,459",Not available,01
116,RN 83,Miribel,"1,321","1,182",01700,Not available,"1,404",01
117,ZAC des Beterses,BEYNOST,"1,294","1,178",01700,"1,344","1,372",01
118,route de Bellegarde,THOIRY,Not available,"1,199",01710,"1,349","1,385",01
119,223 route de Bourg-en-Bresse,Replonges,"1,315","1,188",01750,"1,357",Not available,01
120,47 Route de Lyon,MEXIMIEUX,Not available,"1,184",01800,"1,344","1,372",01
121,11 route de Port-Galland,Saint-Maurice-de-Gourdans,Not available,"1,350",01800,"1,510",Not available,01
122,ROUTE DE CHALAMONT,Meximieux,"1,300","1,194",01800,"1,346","1,390",01
123,Chemin de Bellevue,PERONNAS,Not available,"1,194",01960,"1,351","1,389",01
124,148 Avenue de Lyon,PéRONNAS,Not available,Not available,01960,Not available,Not available,01
125,148 Avenue de Lyon,PéRONNAS,"1,418","1,288",01960,Not available,"1,488",01
126,63 Rue du Bugey,LOYETTES,Not available,"1,285",01980,"1,439",Not available,01
127,ZAC ILE DE FRANCE,LAON,Not available,"1,195",02000,"1,385","1,417",02
128,16 RUE FERNAND CHRIST,LAON,Not available,"1,219",02000,"1,399","1,439",02
129,44 Avenue Charles de Gaulle,Laon,Not available,Not available,02000,Not available,Not available,02
130,97 Avenue Charles de Gaulle,Laon,"1,425","1,295",02000,Not available,"1,535",02
131,16 Boulevard Pierre Brossolette,Laon,"1,388","1,213",02000,Not available,"1,448",02
132,rue Jean Jaures,CHAMBRY,"1,339","1,195",02000,Not available,"1,398",02
133,167 Avenue Pierre Mendès France,Laon,"1,339","1,195",02000,"1,385",Not available,02
134,RUE DU DR MENU,Laon,Not available,"1,210",02000,"1,385","1,420",02
135,Route d'AMIENS,SAINT-QUENTIN,Not available,"1,195",02100,"1,379","1,412",02
136,51 Avenue du Général de Gaulle,SAINT-QUENTIN,Not available,Not available,02100,Not available,Not available,02
137,Boulevard Camille Guérin,SAINT-QUENTIN,Not available,Not available,02100,Not available,Not available,02
138,46 Avenue Faidherbe,Saint-Quentin,"1,352","1,192",02100,Not available,"1,434",02
139,Route de Guise,HARLY,"1,314","1,195",02100,Not available,"1,384",02
140,98 rue Alexandre Dumas,SAINT-QUENTIN,"1,349","1,199",02100,Not available,"1,432",02
141,Route de BOHAIN,Saint-Quentin,"1,320","1,195",02100,"1,369","1,404",02
142,Rue Antoine Parmentier,SAINT-QUENTIN,"1,349","1,199",02100,"1,389",Not available,02
143,60 BIS RUE DE LA FERE,SAINT QUENTIN,Not available,Not available,02100,Not available,Not available,02
144,Rue de la Fère,Saint-Quentin,Not available,"1,175",02100,"1,333","1,359",02
145,25 Boulevard Victor Hugo,SAINT-QUENTIN,Not available,"1,233",02100,"1,456","1,486",02
146,153 Rue de Mulhouse,SAINT-QUENTIN,Not available,"1,195",02100,"1,379","1,412",02
147,BLD CAMILLE GUERIN,SAINT QUENTIN,"1,343","1,192",02100,Not available,"1,429",02
148,rue de la Fère,Neuville-Saint-Amand,"1,314","1,195",02100,Not available,"1,384",02
149,Rue Olivier Deguise,BOHAIN-EN-VERMANDOIS,Not available,Not available,02110,Not available,Not available,02
150,22 rue de Vaux,BOHAIN-EN-VERMANDOIS,"1,369","1,237",02110,"1,419",Not available,02
151,ROUTE DE SAINT QUENTIN,BOHAIN-EN-VERMANDOIS,Not available,"1,229",02110,"1,419","1,439",02
152,56 place du Jeu de Paume,GUISE,Not available,Not available,02120,Not available,Not available,02
153,RUE SADI CARNOT,GUISE,Not available,"1,215",02120,"1,385","1,425",02
154,Rue des Docteurs Devillers,GUISE,"1,345","1,199",02120,Not available,"1,425",02
155,"56, rue du jeu de Paume",Guise,"1,419","1,287",02120,Not available,"1,529",02
156,Rue du Stade,FèRE-EN-TARDENOIS,Not available,Not available,02130,"1,386","1,415",02
157,Aire de Tardenois - A4,Fresnes-en-Tardenois,Not available,Not available,02130,Not available,Not available,02
158, Avenue de la Gare,FèRE-EN-TARDENOIS,Not available,Not available,02130,Not available,Not available,02
159,autoroute A4 aire de tardenois sud,FRESNES EN TARDENOIS,"1,519","1,399",02130,Not available,"1,599",02
160,Autoroute de l'Est,Fresnes-en-Tardenois,"1,519","1,399",02130,Not available,"1,599",02
161, Place Sohier,Vervins,Not available,"1,229",02140,"1,402","1,455",02
162,ZI de la Briquetterie,Vervins,Not available,"1,223",02140,"1,402","1,455",02
163,"73, Hameau Chaussée de Fontaine - RN2",FONTAINE-LèS-VERVINS,Not available,Not available,02140,Not available,Not available,02
164,RUE DES VERRIERS,LE NOUVION-EN-THIéRACHE,Not available,"1,229",02170,"1,409","1,439",02
165,3 RUE PIERRE CURTIL,Guignicourt,Not available,Not available,02190,Not available,Not available,02
166,AUT A 26- AIRE DU MONT NIZY,JUVINCOURT-ET-DAMARY,Not available,Not available,02190,Not available,Not available,02
167,A26 - Aire du Champ Roland,Guignicourt,"1,494","1,354",02190,Not available,"1,574",02
168,3 Rue Pierre Curtil,GUIGNICOURT,"1,389","1,219",02190,"1,399","1,429",02
169,AUT A 26- AIRE DU MONT NIZY,Juvincourt-et-Damary,"1,494","1,354",02190,Not available,"1,574",02
170,3 Avenue Raymonde Fiolet,Soissons,"1,359","1,197",02200,Not available,"1,423",02
171,9 Rue de Villeneuve,SOISSONS,Not available,Not available,02200,Not available,Not available,02
172,ROUTE DE REIMS,BILLY-SUR-AISNE,Not available,Not available,02200,Not available,Not available,02
173,50 Avenue de Château-Thierry,Soissons,Not available,Not available,02200,Not available,Not available,02
174,AVENUE DE COMPIEGNE,MERCIN-ET-VAUX,Not available,Not available,02200,Not available,Not available,02
175,1 Place de Laon,Soissons,"1,351","1,196",02200,Not available,"1,433",02
176,183 ROUTE DE PARIS ,Vauxbuin,"1,351","1,196",02200,Not available,"1,433",02
177,43 Avenue de Château-Thierry,Belleu,"1,295","1,177",02200,Not available,"1,372",02
178,Avenue de Compiègne,MERCIN-ET-VAUX,Not available,"1,189",02200,"1,375","1,392",02
179,Rue d'Acy,Venizel,Not available,"1,199",02200,"1,375","1,409",02
180,AV.DE COMPIEGNE - RN.31,MERCIN ET VAUX,"1,417","1,289",02200,Not available,"1,527",02
181,50 BIS ROUTE DE CHATEAU THIERRY,SOISSONS,"1,419","1,287",02200,Not available,"1,529",02
182,9 ET 11 RUE DE VILLENEUVE,SOISSONS,"1,342","1,196",02200,Not available,"1,433",02
183, Avenue de la Gare,OULCHY-LE-CHâTEAU,"1,500","1,380",02210,Not available,"1,600",02
184,34 BD DE MONTPELLIER,BRAINE,Not available,"1,219",02220,"1,389","1,419",02
185,1000 rue jean jaures,FRESNOY LE GRAND,Not available,"1,199",02230,"1,379","1,399",02
186,74 Rue Blondel,RIBEMONT,"1,339","1,199",02240,"1,379",Not available,02
187,73 chaussee de fontaine,fontaine les vervins,"1,422","1,289",02240,Not available,"1,532",02
188,Rue Saint Nicolas,MARLE,Not available,"1,209",02250,"1,399","1,419",02
189,Route de Thiernu,Marle,"1,429","1,294",02250,Not available,"1,539",02
190,24 AVENUE CARNOT,Marle,Not available,Not available,02250,Not available,Not available,02
191,rue de l'armistice,LA CAPELLE,Not available,"1,219",02260,"1,409","1,429",02
192,"CD 24, route de liesse",SAINT-ERME-OUTRE-ET-RAMECOURT,"1,339","1,195",02280,Not available,"1,398",02
193,9 AVENUE DE LA GARE,RESSONS-LE-LONG,"1,450","1,310",02290,Not available,"1,500",02
194,RD 338,Viry-Noureuil,"1,339","1,205",02300,Not available,"1,429",02
195,CHEMIN DEPARTEMENTAL 937,AUTREVILLE,Not available,"1,204",02300,"1,399","1,429",02
196,108 Rue Pasteur,Chauny,Not available,Not available,02300,Not available,Not available,02
197,9 Rue Anatole France,Chauny,Not available,Not available,02300,Not available,Not available,02
198,Boulevard de l'Europe,Chauny,"1,339","1,199",02300,"1,396",Not available,02
199,24 rue du point du jour,Blérancourt,Not available,"1,199",02300,"1,399","1,468",02
200,route de pavant,CHARLY,Not available,"1,206",02310,"1,359","1,419",02
201,47 Rue Jules Lefèbvre,Fère-en-Tardenois,Not available,"1,269",02310,"1,419","1,499",02
202,34 bis Rue du 7 ème Bca,PINON,Not available,"1,219",02320,"1,389","1,419",02
203,Rue de Coucy,ANIZY-LE-CHâTEAU,"1,369","1,219",02320,"1,389","1,419",02
204,14 ROUTE DE MONTCORNET,LISLET,Not available,"1,195",02340,"1,365","1,398",02
205,Lieu dit du grand hôtel,Rozoy-sur-Serre,Not available,"1,230",02360,"1,389","1,425",02
206,Avenue Jean Jaurès,Vailly-sur-Aisne,Not available,"1,240",02370,"1,410","1,450",02
207,AVENUE JEAN JAURES,VAILLY SUR AISNE,Not available,"1,208",02370,"1,388","1,418",02
208,Le Pré Montré,CRECY-AU-MONT,Not available,Not available,02380,Not available,Not available,02
209,D1 - LIEU DIT LE PRE MONTRE,CRECY AU MONT,"1,342","1,189",02380,Not available,"1,423",02
210, Rue du Thil,ORIGNY-SAINTE-BENOITE,Not available,"1,229",02390,"1,389","1,419",02
211,37 Avenue d'Essômes,CHâTEAU-THIERRY,Not available,Not available,02400,Not available,Not available,02
212,Avenue du Général de Gaulle,Essômes-sur-Marne,Not available,Not available,02400,Not available,Not available,02
213,Rue de la Plaine,CHâTEAU-THIERRY,"1,312","1,192",02400,"1,353",Not available,02
214,22 Avenue de l'Europe,Château-Thierry,Not available,"1,227",02400,"1,417","1,445",02
215,ZC LA MOISERIE ROUTE DE SOISSONS,Château-Thierry,Not available,"1,217",02400,"1,407","1,445",02
216,13 Avenue Jules Lefèbvre,Château-Thierry,"1,469","1,359",02400,Not available,"1,509",02
217,39 Rue de Picardie,Bellicourt,Not available,"1,390",02420,"1,550",Not available,02
218, Rue Auguste Delaune,GAUCHY,"1,314","1,195",02430,"1,379",Not available,02
219,16 RUE DU 2 SEPTEMBRE 1944,LA NEUVILLE-LèS-DORENGT,Not available,"1,199",02450,"1,389","1,409",02
220,ZI l'Ecorcherie,La Ferté-Milon,Not available,"1,201",02460,"1,395","1,450",02
221,AVENUE DE VERDUN,HIRSON,Not available,"1,205",02500,"1,385","1,419",02
222,Rue Charles de Gaulle,HIRSON,Not available,Not available,02500,Not available,Not available,02
223,Avenue du General Debeney,HIRSON,"1,328","1,200",02500,Not available,"1,415",02
224,102 RUE CHARLES DE GAULLE,HIRSON,"1,329","1,199",02500,Not available,"1,449",02
225, Allée Anne de Pisseleu,VILLERS-COTTERêTS,Not available,"1,218",02600,"1,401","1,499",02
226,85 Rue du General Leclerc,VILLERS-COTTERETS,Not available,"1,285",02600,"1,469",Not available,02
227,RTE NATIONALE 2  CHEMIN DE LA NONNE,VILLERS-COTTERêTS,Not available,"1,336",02600,"1,522","1,558",02
228,36 ROUTE DE LA FERTE MILON,VILLERS-COTTERÊTS,Not available,"1,293",02600,"1,459","1,519",02
229,Avenue de la Ferté Milon,VILLERS-COTTERêTS,"1,349","1,199",02603,"1,379",Not available,02
230,A 26 - Aire Urvillers,ESSIGNY-LE-GRAND,Not available,Not available,02690,Not available,Not available,02
231,AUTOROUTE A26 - AIRE D'URVILLERS,ESSIGNY LE GRAND,"1,494","1,364",02690,Not available,"1,604",02
232,213 Boulevard Gambetta,CONDREN,"1,425","1,294",02700,"1,387","1,535",02
233,ZA LA PLANCHETTE,TERGNIER,Not available,"1,175",02700,"1,345","1,379",02
234,Route de LAON - Lieu-dit,CHARMES,Not available,Not available,02800,Not available,Not available,02
235,Rue de Danizy,LA FèRE,Not available,Not available,02800,Not available,Not available,02
236, Chemin Blanc,BEAUTOR,"1,339","1,205",02800,"1,396","1,429",02
237,1 Chemin de Danizy,LA FèRE,Not available,"1,219",02800,"1,409","1,439",02
238,Route de Fismes,BRUYèRES-ET-MONTBéRAULT,"1,437","1,309",02860,Not available,"1,547",02
239, Rue du Stade,Crouy,"1,339","1,199",02880,"1,369","1,399",02
240,169 ROUTE DE LYON,MOULINS,"1,303","1,204",03000,"1,352",Not available,03
241,8 Avenue de la Libération,MOULINS,Not available,Not available,03000,Not available,Not available,03
242,2 Rue Alphonse Daudet,Avermes,"1,315","1,204",03000,"1,352",Not available,03
243,le pré-vert,MOULINS,"1,409","1,295",03000,Not available,"1,519",03
244,16 Route de Montilly,MOULINS,"1,303","1,207",03000,Not available,"1,374",03
245,ZAC les portes de l'Allier,Avermes,"1,315","1,204",03000,Not available,"1,379",03
246,8 Avenue de la Libération,Moulins,"1,397","1,305",03000,Not available,"1,507",03
247,Quai ledru Rollin,MONTLUçON,"1,319","1,219",03100,"1,369","1,395",03
248,52 Rue Paul Constans,MONTLUçON,"1,409","1,309",03100,Not available,"1,519",03
249,8 Avenue Albert Thomas,MONTLUCON,Not available,Not available,03100,Not available,Not available,03
250,Avenue Pierre Villon,MONTLUçON,Not available,"1,219",03100,"1,359","1,395",03
251,A71 aire de l'Allier Saulzet (sens province paris),Doyet,"1,474","1,364",03100,Not available,"1,554",03
252,345 AVENUE PRESIDENT AURIOL,MONTLUCON,Not available,"1,219",03100,"1,359","1,395",03
253,Rue de la Rotonde,Montluçon,"1,319","1,219",03100,"1,369","1,395",03
254,106 Avenue John Kennedy,Montluçon,"1,389","1,276",03100,Not available,"1,455",03
255,AVENUE JULES GUESDE,MONTLUçON,Not available,"1,219",03100,"1,369","1,395",03
256,8 avenue Albert Thomas,MONTLUCON,"1,377","1,295",03100,Not available,Not available,03
257,19 Route de Saint-Pourçain,CHARMEIL,"1,392","1,305",03110,Not available,Not available,03
258,24 Village Des Combes,Broût-Vernet,Not available,"1,280",03110,"1,440","1,480",03
259,94 RUE PRESIDENT ROOSEVELT,LAPALISSE,Not available,"1,220",03120,"1,390","1,420",03
260,RUE DE VERDUN,LAPALISSE,Not available,"1,209",03120,"1,384","1,414",03
261,AVENUE JEAN MASSE,Lapalisse,"1,374","1,209",03120,"1,384","1,414",03
262,zac les pres de la grand route,Lapalisse,"1,329","1,201",03120,Not available,"1,424",03
263,1 Avenue du 8 Mai 1945,Lapalisse,Not available,"1,220",03120,"1,380","1,400",03
264,11 Avenue Préveraud,Le Donjon,Not available,"1,320",03130,"1,460","1,480",03
265,"66, avenue de Chazeuil",VARENNES-SUR-ALLIER,"1,399","1,305",03150,Not available,"1,509",03
266,37 AVENUE DE LYON,VARENNES-SUR-ALLIER,Not available,Not available,03150,Not available,Not available,03
267,90 Avenue de Chazeuil,VARENNES-SUR-ALLIER,Not available,"1,229",03150,"1,409","1,439",03
268,98 avenue de Chazeuil,VARENNES-SUR-ALLIER,Not available,"1,215",03150,"1,389","1,419",03
269,11 AV DE CHAZEUIL,VARENNES-SUR-ALLIER,Not available,"1,339",03150,"1,489","1,519",03
270,Avenue Emile Guillaumin,BOURBON-L'ARCHAMBAULT,Not available,"1,204",03160,"1,352","1,388",03
271,A71 aire de l'Allier Doyet(sens paris province),Doyet,"1,474","1,354",03170,Not available,"1,554",03
272,"Route de Montluçon, les beauchérias",Vallon-en-Sully,Not available,"1,279",03190,"1,475","1,499",03
273,57 Avenue Poincaré,VICHY,"1,399","1,305",03200,Not available,"1,509",03
274,48 Avenue de Gramont,VICHY,"1,377","1,282",03200,Not available,"1,487",03
275,Allée des ailes,VICHY,"1,319","1,209",03200,Not available,"1,414",03
276,1 ROUTE DE COSNE,SOUVIGNY,"1,289","1,179",03210,"1,340",Not available,03
277,Lieu-dit Longeville,Deux-Chaises,"1,404","1,309",03240,Not available,"1,514",03
278,Route des Ferrières,Le Mayet-de-Montagne,Not available,"1,225",03250,"1,397",Not available,03
279,8 RUE PIERRE SEMARD,SAINT GERMAIN DES FOSSES,Not available,"1,229",03260,"1,389",Not available,03
280,3 RUE DU BOIS DES JARRAUX,SAINT-YORRE,Not available,"1,209",03270,"1,387","1,417",03
281,LES GRIS,TOULON-SUR-ALLIER,Not available,Not available,03286,Not available,Not available,03
282,la chapelle,Dompierre-sur-Besbre,Not available,"1,207",03290,"1,357","1,383",03
283,464 ROUTE DE DIOU,DOMPIERRE SUR BESBRE,Not available,"1,218",03290,"1,368","1,388",03
284,223 RUE NATIONALE,DOMPIERRE SUR BESBRE,Not available,"1,328",03290,"1,483","1,532",03
285,RTE DE CHARMEIL,CUSSET,Not available,"1,261",03300,"1,406","1,434",03
286,24 Rue de la République,CUSSET,"1,399","1,305",03300,Not available,"1,509",03
287,rue des peupliers,CUSSET,Not available,"1,209",03300,"1,384","1,414",03
288,"2, route de Clermont",NéRIS-LES-BAINS,Not available,Not available,03310,Not available,Not available,03
