,Adresse,City,Postal_Code,iD
137,Boulevard Camille Guérin,SAINT-QUENTIN,02100,02
138,46 Avenue Faidherbe,Saint-Quentin,02100,02
139,Route de Guise,HARLY,02100,02
140,98 rue Alexandre Dumas,SAINT-QUENTIN,02100,02
141,Route de BOHAIN,Saint-Quentin,02100,02
142,Rue Antoine Parmentier,SAINT-QUENTIN,02100,02
143,60 BIS RUE DE LA FERE,SAINT QUENTIN,02100,02
144,Rue de la Fère,Saint-Quentin,02100,02
145,25 Boulevard Victor Hugo,SAINT-QUENTIN,02100,02
146,153 Rue de Mulhouse,SAINT-QUENTIN,02100,02
147,BLD CAMILLE GUERIN,SAINT QUENTIN,02100,02
148,Rue Olivier Deguise,BOHAIN-EN-VERMANDOIS,02110,02
149,22 rue de Vaux,BOHAIN-EN-VERMANDOIS,02110,02
150,ROUTE DE SAINT QUENTIN,BOHAIN-EN-VERMANDOIS,02110,02
151,56 place du Jeu de Paume,GUISE,02120,02
152,RUE SADI CARNOT,GUISE,02120,02
153, Rue des Docteurs Devillers,GUISE,02120,02
154,"56, rue du jeu de Paume",Guise,02120,02
155,Rue du Stade,FèRE-EN-TARDENOIS,02130,02
156,Aire de Tardenois - A4,Fresnes-en-Tardenois,02130,02
157, Avenue de la Gare,FèRE-EN-TARDENOIS,02130,02
158,autoroute A4 aire de tardenois sud,FRESNES EN TARDENOIS,02130,02
159,Autoroute de l'Est,Fresnes-en-Tardenois,02130,02
160, Place Sohier,Vervins,02140,02
161,ZI de la Briquetterie,Vervins,02140,02
162,"73, Hameau Chaussée de Fontaine - RN2",FONTAINE-LèS-VERVINS,02140,02
163,RUE DES VERRIERS,LE NOUVION-EN-THIéRACHE,02170,02
164,3 RUE PIERRE CURTIL,Guignicourt,02190,02
165,AUT A 26- AIRE DU MONT NIZY,JUVINCOURT-ET-DAMARY,02190,02
166,A26 - Aire du Champ Roland,Guignicourt,02190,02
167,3 Rue Pierre Curtil,GUIGNICOURT,02190,02
168,AUT A 26- AIRE DU MONT NIZY,Juvincourt-et-Damary,02190,02
169,3 Avenue Raymonde Fiolet,Soissons,02200,02
170,9 Rue de Villeneuve,SOISSONS,02200,02
171,ROUTE DE REIMS,BILLY-SUR-AISNE,02200,02
172,50 Avenue de Château-Thierry,Soissons,02200,02
173,AVENUE DE COMPIEGNE,MERCIN-ET-VAUX,02200,02
174,1 Place de Laon,Soissons,02200,02
175,183 ROUTE DE PARIS ,Vauxbuin,02200,02
176,43 Avenue de Château-Thierry,Belleu,02200,02
177,Avenue de Compiègne,MERCIN-ET-VAUX,02200,02
178,Rue d'Acy,Venizel,02200,02
179,AV.DE COMPIEGNE - RN.31,MERCIN ET VAUX,02200,02
180,50 BIS ROUTE DE CHATEAU THIERRY,SOISSONS,02200,02
181,9 ET 11 RUE DE VILLENEUVE,SOISSONS,02200,02
182, Avenue de la Gare,OULCHY-LE-CHâTEAU,02210,02
183,34 BD DE MONTPELLIER,BRAINE,02220,02
184,1000 rue jean jaures,FRESNOY LE GRAND,02230,02
185,74 Rue Blondel,RIBEMONT,02240,02
186,73 chaussee de fontaine,fontaine les vervins,02240,02
187,Rue Saint Nicolas,MARLE,02250,02
188,Route de Thiernu,Marle,02250,02
189,24 AVENUE CARNOT,Marle,02250,02
190,rue de l'armistice,LA CAPELLE,02260,02
191,"CD 24, route de liesse",SAINT-ERME-OUTRE-ET-RAMECOURT,02280,02
192,9 AVENUE DE LA GARE,RESSONS-LE-LONG,02290,02
193,RD 338,Viry-Noureuil,02300,02
194,CHEMIN DEPARTEMENTAL 937,AUTREVILLE,02300,02
195,108 Rue Pasteur,Chauny,02300,02
196,9 Rue Anatole France,Chauny,02300,02
197,Boulevard de l'Europe,Chauny,02300,02
198,24 rue du point du jour,Blérancourt,02300,02
199,route de pavant,CHARLY,02310,02
200,47 Rue Jules Lefèbvre,Fère-en-Tardenois,02310,02
201,34 bis Rue du 7 ème Bca,PINON,02320,02
202,Rue de Coucy,ANIZY-LE-CHâTEAU,02320,02
203,14 ROUTE DE MONTCORNET,LISLET,02340,02
204,Lieu dit du grand hôtel,Rozoy-sur-Serre,02360,02
205,Avenue Jean Jaurès,Vailly-sur-Aisne,02370,02
206,AVENUE JEAN JAURES,VAILLY SUR AISNE,02370,02
207,Le Pré Montré,CRECY-AU-MONT,02380,02
208,D1 - LIEU DIT LE PRE MONTRE,CRECY AU MONT,02380,02
209, Rue du Thil,ORIGNY-SAINTE-BENOITE,02390,02
210,37 Avenue d'Essômes,CHâTEAU-THIERRY,02400,02
211,Avenue du Général de Gaulle,Essômes-sur-Marne,02400,02
212,Rue de la Plaine,CHâTEAU-THIERRY,02400,02
213,22 Avenue de l'Europe,Château-Thierry,02400,02
214,ZC LA MOISERIE ROUTE DE SOISSONS,Château-Thierry,02400,02
215,13 Avenue Jules Lefèbvre,Château-Thierry,02400,02
216,39 Rue de Picardie,Bellicourt,02420,02
217, Rue Auguste Delaune,GAUCHY,02430,02
218,16 RUE DU 2 SEPTEMBRE 1944,LA NEUVILLE-LèS-DORENGT,02450,02
219,ZI l'Ecorcherie,La Ferté-Milon,02460,02
220,AVENUE DE VERDUN,HIRSON,02500,02
221,Rue Charles de Gaulle,HIRSON,02500,02
222,Avenue du General Debeney,HIRSON,02500,02
223,102 RUE CHARLES DE GAULLE,HIRSON,02500,02
224, Allée Anne de Pisseleu,VILLERS-COTTERêTS,02600,02
225,85 Rue du General Leclerc,VILLERS-COTTERETS,02600,02
226,RTE NATIONALE 2  CHEMIN DE LA NONNE,VILLERS-COTTERêTS,02600,02
227,36 ROUTE DE LA FERTE MILON,VILLERS-COTTERÊTS,02600,02
228,Avenue de la Ferté Milon,VILLERS-COTTERêTS,02603,02
229,A 26 - Aire Urvillers,ESSIGNY-LE-GRAND,02690,02
230,AUTOROUTE A26 - AIRE D'URVILLERS,ESSIGNY LE GRAND,02690,02
231,213 Boulevard Gambetta,CONDREN,02700,02
232,ZA LA PLANCHETTE,TERGNIER,02700,02
233,Route de LAON - Lieu-dit,CHARMES,02800,02
234,Rue de Danizy,LA FèRE,02800,02
235, Chemin Blanc,BEAUTOR,02800,02
236,1 Chemin de Danizy,LA FèRE,02800,02
237,Route de Fismes,BRUYèRES-ET-MONTBéRAULT,02860,02
238, Rue du Stade,Crouy,02880,02
239,169 ROUTE DE LYON,MOULINS,03000,03
240,8 Avenue de la Libération,MOULINS,03000,03
241,2 Rue Alphonse Daudet,Avermes,03000,03
242,le pré-vert,MOULINS,03000,03
243,16 Route de Montilly,MOULINS,03000,03
244,ZAC les portes de l'Allier,Avermes,03000,03
245,8 Avenue de la Libération,Moulins,03000,03
246,Quai ledru Rollin,MONTLUçON,03100,03
247,52 Rue Paul Constans,MONTLUçON,03100,03
248,8 Avenue Albert Thomas,MONTLUCON,03100,03
249,Avenue Pierre Villon,MONTLUçON,03100,03
250,A71 aire de l'Allier Saulzet (sens province paris),Doyet,03100,03
251,345 AVENUE PRESIDENT AURIOL,MONTLUCON,03100,03
252,Rue de la Rotonde,Montluçon,03100,03
253,106 Avenue John Kennedy,Montluçon,03100,03
254,AVENUE JULES GUESDE,MONTLUçON,03100,03
255,8 avenue Albert Thomas,MONTLUCON,03100,03
256,19 Route de Saint-Pourçain,CHARMEIL,03110,03
257,24 Village Des Combes,Broût-Vernet,03110,03
258,94 RUE PRESIDENT ROOSEVELT,LAPALISSE,03120,03
259,RUE DE VERDUN,LAPALISSE,03120,03
260,AVENUE JEAN MASSE,Lapalisse,03120,03
261,zac les pres de la grand route,Lapalisse,03120,03
262,1 Avenue du 8 Mai 1945,Lapalisse,03120,03
263,11 Avenue Préveraud,Le Donjon,03130,03
264,"66, avenue de Chazeuil",VARENNES-SUR-ALLIER,03150,03
265,37 AVENUE DE LYON,VARENNES-SUR-ALLIER,03150,03
266,90 Avenue de Chazeuil,VARENNES-SUR-ALLIER,03150,03
267,98 avenue de Chazeuil,VARENNES-SUR-ALLIER,03150,03
268,11 AV DE CHAZEUIL,VARENNES-SUR-ALLIER,03150,03
269,Avenue Emile Guillaumin,BOURBON-L'ARCHAMBAULT,03160,03
270,A71 aire de l'Allier Doyet(sens paris province),Doyet,03170,03
271,"Route de Montluçon, les beauchérias",Vallon-en-Sully,03190,03
272,57 Avenue Poincaré,VICHY,03200,03
273,48 Avenue de Gramont,VICHY,03200,03
274,Allée des ailes,VICHY,03200,03
275,1 ROUTE DE COSNE,SOUVIGNY,03210,03
276,Lieu-dit Longeville,Deux-Chaises,03240,03
277,Route des Ferrières,Le Mayet-de-Montagne,03250,03
278,8 RUE PIERRE SEMARD,SAINT GERMAIN DES FOSSES,03260,03
279,3 RUE DU BOIS DES JARRAUX,SAINT-YORRE,03270,03
280,LES GRIS,TOULON-SUR-ALLIER,03286,03
281,la chapelle,Dompierre-sur-Besbre,03290,03
282,464 ROUTE DE DIOU,DOMPIERRE SUR BESBRE,03290,03
283,223 RUE NATIONALE,DOMPIERRE SUR BESBRE,03290,03
284,RTE DE CHARMEIL,CUSSET,03300,03
285,24 Rue de la République,CUSSET,03300,03
286,rue des peupliers,CUSSET,03300,03
287,"2, route de Clermont",NéRIS-LES-BAINS,03310,03
288,Route de Clermont,NERIS LES BAINS,03310,03
289,ROUTE DE MOULINS,Lurcy-Lévis,03320,03
290,Avenue Jean Jaurès,Cérilly,03350,03
291,Faubourg de Moulins,AINAY-LE-CHATEAU,03360,03
292,RELAIS DES TARTASSES,LA CHAPELAUDE,03380,03
293,Rue Calaubys,HURIEL,03380,03
294,2 rue des artisan,MONTMARAULT,03390,03
295,ROUTE DE MOULINS,MONTMARAULT,03390,03
296,"28, route de Lyon",YZEURE,03400,03
297,Route de Montbeugny,YZEURE,03400,03
298,28 Rue Bergeron-Vebret,Yzeure,03400,03
299,65 Avenue des Martyrs,MONTLUCON-DOMERAT,03410,03
300,ROUTE DE LIMOGES,Domérat,03410,03
301,ROUTE DE PARIS,SAINT-VICTOR,03410,03
302, Boulevard Victor Hugo,DOMéRAT,03410,03
303,61 avenue des Martyrs,DOMERAT,03410,03
304,Rue de la Chevêche,Domérat,03410,03
305,Lieu-dit La Loue,Saint-Victor,03410,03
306,Route de Hérisson,COSNE-D'ALLIER,03430,03
307,ZA LES VARENNES,EBREUIL,03450,03
308,RN9,SAINT-POURçAIN-SUR-SIOULE,03500,03
309,Route de Montmarault,SAINT-POURçAIN-SUR-SIOULE,03500,03
310,Quartier Tivoli,SAINT-POURCAIN-SUR-SIOULE,03500,03
311,4 RUE ARMAND QUEROY,SAULCET,03500,03
312,Route de Gannat,Saint-Pourçain-sur-Sioule,03500,03
313,RN 9,Saint-Pourçain-sur-Sioule,03500,03
314,Avenue Edouard Vaillant,COMMENTRY,03600,03
315,LA BRANDE MALICORNE,COMMENTRY,03600,03
316,12 Rue Ambroise Croizat,DéSERTINES,03630,03
317,12 RUE AMBROISE CROIZAT,DESERTINES,03630,03
318,51 RUE DE LA REPUBLIQUE,DESERTINES,03630,03
319,22 avenue de la République,BELLERIVE-SUR-ALLIER,03700,03
320,Avenue du General de Gaulle,BELLERIVE-SUR-ALLIER,03700,03
321,Avenue des Portes Occitanes,Gannat,03800,03
322, Avenue de la Gare,GANNAT,03800,03
323,6 Avenue P.Mendes france,GANNAT,03800,03
324,77 rue des Capucins,GANNAT,03800,03
325,12 avenue des Portes Occitanes,Gannat,03800,03
326,ROUTE DE MARSEILLE,DIGNE-LES-BAINS,04000,04
327,39 AV DE VERDUN,Digne-les-Bains,04000,04
328,8 avenue du 8 Mai 1945,Digne-les-Bains,04000,04
329,9 avenue des Plantiers BP201,SISTERON,04100,04
330,Route de Sisteron,Manosque,04100,04
331,214 Avenue Frédéric Mistral,MANOSQUE,04100,04
332,Route de Volx,MANOSQUE,04100,04
333,RN 96,MANOSQUE,04100,04
334,Avenue Mestre Raoul Arnaud,Manosque,04100,04
335,214 AV. FREDERIC MISTRAL,MANOSQUE,04100,04
336,RN96 - CHEMIN DES PLANTIERS,MANOSQUE,04100,04
337,ZI St JosephBP335,MANOSQUE,04103,04
338,Rue Principale,LA PALUD-SUR-VERDON,04120,04
339,Route Digne,CASTELLANE,04120,04
340,Boulevard Saint Michel,Castellane,04120,04
341,AUTOROUTE A 51 AIRE DE MANOSQUE,Volx,04130,04
342,AUTOROUTE A51 AIRE DE MANOSQUE EST,Volx,04130,04
343,AUTOROUTE A51 AIRE DE VOLX OUEST,Volx,04130,04
344,AUTOROUTE A51 - AIRE DE VOLX OUEST,VOLX,04130,04
345,AUTOROUTE A51 - AIRE DE MANOSQUE,VOLX,04130,04
346,LIEUDIT PRAS GAVOUETS ZONE ARTISANALE B,Seyne-les-Alpes,04140,04
347,LE BELVEDERE - RN 96,CHâTEAU-ARNOUX-SAINT-AUBAN,04160,04
348,70 Avenue du Général de Gaulle,Château-Arnoux-Saint-Auban,04160,04
349,Avenue du Jas,CHâTEAU-ARNOUX-SAINT-AUBAN,04160,04
350,LE BELVEDERE - RN 96,CHATEAU ARNOUX,04160,04
351,Route de Nice,Saint-André-les-Alpes,04170,04
