,Adresse,City,E10,Gazole,Postal_Code,SP95,SP98,iD
0,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,Not available,"1,179",01000,"1,331","1,369",01
1,16 Avenue de Marboz,BOURG-EN-BRESSE,Not available,"1,179",01000,"1,331","1,369",01
2,20 Avenue du Maréchal Juin,Bourg-en-Bresse,Not available,"1,280",01000,"1,400",Not available,01
3,642 Avenue de Trévoux,SAINT-DENIS-LèS-BOURG,Not available,Not available,01000,Not available,Not available,01
4,1 Boulevard John Kennedy,BOURG-EN-BRESSE,Not available,"1,219",01000,"1,369","1,409",01
5,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,"1,279","1,179",01000,"1,331","1,369",01
6,Bd Charles de Gaulle,BOURG-EN-BRESSE,"1,279","1,179",01000,"1,331","1,369",01
7,56 Rue du Stand,Bourg-en-Bresse,"1,279","1,179",01000,"1,331","1,369",01
8,Boulevard Charles de Gaulle,BOURG-EN-BRESSE,Not available,Not available,01000,Not available,Not available,01
9,"642, AVENUE DE TREVOUX",ST DENIS LES BOURG,"1,350","1,290",01000,Not available,"1,460",01
10,BOULEVARD CHARLES DE GAULLE,BOURG EN BRESSE,"1,279","1,179",01000,Not available,"1,369",01
11,LE GRAND RIVOLET,MONTCEAUX,"1,285","1,179",01090,Not available,"1,358",01
12,ROUTE DE DORTAN,Arbent,"1,329","1,164",01100,"1,339",Not available,01
13,Rue Brillat-Savarin,OYONNAX,Not available,"1,173",01100,"1,335","1,399",01
14,174 Cours de Verdun,Oyonnax,Not available,Not available,01100,Not available,Not available,01
15,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,Not available,"1,266",01100,"1,404","1,439",01
16,74 Rue Jules Michelet,Oyonnax,Not available,"1,163",01100,"1,335",Not available,01
17,174 COURS DE VERDUN,OYONNAX,"1,347","1,259",01100,Not available,"1,457",01
18,Rue Massonod,HAUTEVILLE-LOMPNES,Not available,"1,195",01110,"1,325","1,365",01
19,AUTOROUTE A 42,DAGNEUX,Not available,Not available,01120,Not available,Not available,01
20,AUTOROUTE A 42 AIRE DE DAGNEUX,Montluel,Not available,Not available,01120,Not available,Not available,01
21,Cours de la Portelle,MONTLUEL,"1,266","1,161",01120,Not available,"1,349",01
22, Route de Thil,LA BOISSE,"1,259","1,155",01120,"1,309","1,339",01
23,521 ROUTE NATIONALE,La Boisse,"1,374","1,279",01120,Not available,"1,484",01
24,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,"1,475","1,364",01120,Not available,"1,581",01
25,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,"1,439","1,339",01120,Not available,"1,539",01
26,ROUTE DE LA CLUSE,Nantua,Not available,Not available,01130,Not available,Not available,01
27,Moulin de Charix,LALLEYRIAT,Not available,"1,256",01130,"1,399","1,429",01
28,RTE DE LA CLUSE RN 84,NANTUA,"1,279","1,195",01130,Not available,"1,369",01
29,Chemin des Huguets,Saint-Didier-sur-Chalaronne,Not available,"1,199",01140,"1,349","1,379",01
30,8 RUE DE L'INDUSTRIE,LAGNIEU,Not available,"1,174",01150,"1,318","1,378",01
31, Avenue Charles de Gaulle,SAINT-VULBAS,"1,357","1,252",01150,Not available,"1,467",01
32,Route de bourg,PONT-D'AIN,Not available,Not available,01160,Not available,Not available,01
33,Le Pont Rompu - RD 1084,PONT-D'AIN,"1,290","1,190",01160,"1,320","1,360",01
34,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,"1,264","1,164",01160,"1,309",Not available,01
35,RTE DE BOURG RN 75,PONT D'AIN,"1,274","1,179",01160,Not available,Not available,01
36,RN5,SéGNY,Not available,"1,170",01170,"1,308","1,350",01
37,Lieu-Dit les Vertes Campagnes,GEX,"1,335","1,196",01170,"1,343","1,370",01
38,Route de Divonne les Bains,Gex,"1,296","1,201",01170,Not available,"1,373",01
39, Avenue des Tilleuls,GEX,Not available,"1,255",01170,"1,399","1,429",01
40,PAE Pont de Vaux Est,SAINT BéNIGNE,Not available,"1,177",01190,"1,322","1,356",01
