,Adresse,City,E10,Gazole,Postal_Code,SP95,SP98,iD
0,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,Not available,"1,217",01000,"1,366","1,399",01
1,16 Avenue de Marboz,BOURG-EN-BRESSE,Not available,"1,217",01000,"1,366","1,399",01
2,20 Avenue du Maréchal Juin,Bourg-en-Bresse,Not available,"1,340",01000,"1,440",Not available,01
3,642 Avenue de Trévoux,SAINT-DENIS-LèS-BOURG,Not available,Not available,01000,Not available,Not available,01
4,1 Boulevard John Kennedy,BOURG-EN-BRESSE,Not available,"1,259",01000,"1,419","1,439",01
5,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,"1,296","1,217",01000,"1,366","1,396",01
6,Bd Charles de Gaulle,BOURG-EN-BRESSE,"1,296","1,217",01000,"1,366","1,396",01
7,56 Rue du Stand,Bourg-en-Bresse,"1,296","1,217",01000,"1,366","1,396",01
8,Boulevard Charles de Gaulle,BOURG-EN-BRESSE,Not available,Not available,01000,Not available,Not available,01
9,"642, AVENUE DE TREVOUX",ST DENIS LES BOURG,"1,390","1,330",01000,Not available,"1,500",01
10,BOULEVARD CHARLES DE GAULLE,BOURG EN BRESSE,"1,296","1,217",01000,Not available,"1,396",01
11,LE GRAND RIVOLET,MONTCEAUX,"1,320","1,230",01090,Not available,"1,389",01
12,ROUTE DE DORTAN,Arbent,"1,375","1,229",01100,"1,405",Not available,01
13,Rue Brillat-Savarin,OYONNAX,Not available,"1,221",01100,"1,395","1,419",01
14,174 Cours de Verdun,Oyonnax,Not available,Not available,01100,Not available,Not available,01
15,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,Not available,"1,319",01100,"1,439","1,479",01
16,74 Rue Jules Michelet,Oyonnax,Not available,"1,221",01100,"1,395",Not available,01
17,174 COURS DE VERDUN,OYONNAX,"1,376","1,289",01100,Not available,"1,486",01
18,Rue Massonod,HAUTEVILLE-LOMPNES,Not available,"1,225",01110,"1,335","1,375",01
19,AUTOROUTE A 42,DAGNEUX,Not available,Not available,01120,Not available,Not available,01
20,AUTOROUTE A 42 AIRE DE DAGNEUX,Montluel,Not available,Not available,01120,Not available,Not available,01
21,Cours de la Portelle,MONTLUEL,"1,303","1,213",01120,Not available,"1,384",01
22, Route de Thil,LA BOISSE,"1,303","1,213",01120,"1,348","1,384",01
23,521 ROUTE NATIONALE,La Boisse,"1,406","1,319",01120,Not available,"1,516",01
24,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,"1,474","1,384",01120,Not available,"1,580",01
25,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,"1,469","1,379",01120,Not available,"1,579",01
26,ROUTE DE LA CLUSE,Nantua,Not available,Not available,01130,Not available,Not available,01
27,Moulin de Charix,LALLEYRIAT,Not available,"1,296",01130,"1,422","1,464",01
28,RTE DE LA CLUSE RN 84,NANTUA,"1,309","1,223",01130,Not available,"1,399",01
29,Chemin des Huguets,Saint-Didier-sur-Chalaronne,Not available,"1,259",01140,"1,369","1,399",01
30,8 RUE DE L'INDUSTRIE,LAGNIEU,Not available,"1,236",01150,"1,349","1,418",01
31, Avenue Charles de Gaulle,SAINT-VULBAS,"1,389","1,294",01150,"1,389","1,499",01
32,Route de bourg,PONT-D'AIN,Not available,Not available,01160,Not available,Not available,01
33,Le Pont Rompu - RD 1084,PONT-D'AIN,"1,300","1,220",01160,"1,330","1,370",01
34,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,"1,289","1,209",01160,"1,329",Not available,01
35,RTE DE BOURG RN 75,PONT D'AIN,"1,294","1,212",01160,Not available,Not available,01
36,RN5,SéGNY,Not available,"1,220",01170,"1,350","1,390",01
37,Lieu-Dit les Vertes Campagnes,GEX,"1,335","1,246",01170,"1,376","1,402",01
38,Route de Divonne les Bains,Gex,"1,316","1,227",01170,Not available,"1,390",01
39, Avenue des Tilleuls,GEX,Not available,"1,294",01170,"1,422","1,459",01
40,PAE Pont de Vaux Est,SAINT BéNIGNE,Not available,"1,226",01190,"1,363","1,400",01
41,69 Rue de la République,Bellegarde-sur-Valserine,Not available,"1,227",01200,"1,345","1,368",01
42,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,"1,305","1,215",01200,"1,345",Not available,01
43,79 RUE DE LA REPUBLIQUE,BELLEGARDE,Not available,Not available,01200,Not available,Not available,01
44, Chemin de la Brunette,FERNEY-VOLTAIRE,Not available,"1,249",01210,"1,375","1,405",01
45,ROUTE DE GENEVE,FERNEY-VOLTAIRE,"1,414","1,317",01210,Not available,"1,524",01
46,Route de Meyrin,FERNEY-VOLTAIRE,"1,310","1,220",01210,"1,350",Not available,01
47,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,Not available,"1,248",01220,"1,356","1,384",01
48,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,Not available,"1,300",01230,"1,430","1,480",01
