,Adresse,City,E10,Gazole,Postal_Code,SP95,SP98,iD
0,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,Not available,"1,222",01000,"1,361","1,395",01
1,16 Avenue de Marboz,BOURG-EN-BRESSE,Not available,"1,222",01000,"1,361","1,395",01
2,20 Avenue du Maréchal Juin,Bourg-en-Bresse,Not available,"1,360",01000,"1,460",Not available,01
3,642 Avenue de Trévoux,SAINT-DENIS-LèS-BOURG,Not available,Not available,01000,Not available,Not available,01
4,1 Boulevard John Kennedy,BOURG-EN-BRESSE,Not available,"1,249",01000,"1,419","1,439",01
5,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,"1,299","1,215",01000,"1,361","1,398",01
6,Bd Charles de Gaulle,BOURG-EN-BRESSE,"1,299","1,215",01000,"1,361","1,398",01
7,56 Rue du Stand,Bourg-en-Bresse,"1,299","1,215",01000,"1,361","1,398",01
8,Boulevard Charles de Gaulle,BOURG-EN-BRESSE,Not available,Not available,01000,Not available,Not available,01
9,"642, AVENUE DE TREVOUX",ST DENIS LES BOURG,"1,400","1,330",01000,Not available,"1,510",01
10,BOULEVARD CHARLES DE GAULLE,BOURG EN BRESSE,"1,299","1,215",01000,Not available,"1,395",01
11,LE GRAND RIVOLET,MONTCEAUX,"1,320","1,230",01090,Not available,"1,389",01
12,ROUTE DE DORTAN,Arbent,"1,375","1,219",01100,"1,405",Not available,01
13,Rue Brillat-Savarin,OYONNAX,Not available,"1,224",01100,"1,395","1,419",01
14,174 Cours de Verdun,Oyonnax,Not available,Not available,01100,Not available,Not available,01
15,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,Not available,"1,319",01100,"1,439","1,479",01
16,74 Rue Jules Michelet,Oyonnax,Not available,"1,221",01100,"1,395",Not available,01
17,174 COURS DE VERDUN,OYONNAX,"1,384","1,302",01100,Not available,"1,494",01
18,Rue Massonod,HAUTEVILLE-LOMPNES,Not available,"1,245",01110,"1,375","1,405",01
19,AUTOROUTE A 42,DAGNEUX,Not available,Not available,01120,Not available,Not available,01
20,AUTOROUTE A 42 AIRE DE DAGNEUX,Montluel,Not available,Not available,01120,Not available,Not available,01
21,Cours de la Portelle,MONTLUEL,"1,309","1,213",01120,Not available,"1,391",01
22, Route de Thil,LA BOISSE,"1,309","1,213",01120,"1,356","1,391",01
23,521 ROUTE NATIONALE,La Boisse,"1,414","1,329",01120,Not available,"1,524",01
24,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,"1,484","1,414",01120,Not available,"1,590",01
25,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,"1,479","1,389",01120,Not available,"1,589",01
26,ROUTE DE LA CLUSE,Nantua,Not available,Not available,01130,Not available,Not available,01
27,Moulin de Charix,LALLEYRIAT,Not available,"1,309",01130,"1,435","1,474",01
28,RTE DE LA CLUSE RN 84,NANTUA,"1,314","1,237",01130,Not available,"1,399",01
29,Chemin des Huguets,Saint-Didier-sur-Chalaronne,Not available,"1,255",01140,"1,366","1,395",01
30,8 RUE DE L'INDUSTRIE,LAGNIEU,Not available,"1,236",01150,"1,349","1,418",01
31, Avenue Charles de Gaulle,SAINT-VULBAS,"1,399","1,307",01150,"1,389","1,509",01
32,Route de bourg,PONT-D'AIN,Not available,Not available,01160,Not available,Not available,01
33,Le Pont Rompu - RD 1084,PONT-D'AIN,"1,330","1,240",01160,"1,370","1,400",01
34,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,"1,309","1,219",01160,"1,339",Not available,01
35,RTE DE BOURG RN 75,PONT D'AIN,"1,299","1,199",01160,Not available,Not available,01
36,RN5,SéGNY,Not available,"1,220",01170,"1,350","1,395",01
37,Lieu-Dit les Vertes Campagnes,GEX,"1,335","1,265",01170,"1,393","1,415",01
38,Route de Divonne les Bains,Gex,"1,316","1,243",01170,Not available,"1,390",01
39, Avenue des Tilleuls,GEX,Not available,"1,279",01170,"1,434","1,464",01
40,PAE Pont de Vaux Est,SAINT BéNIGNE,Not available,"1,226",01190,"1,363","1,400",01
41,69 Rue de la République,Bellegarde-sur-Valserine,Not available,"1,248",01200,"1,355","1,383",01
42,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,"1,315","1,215",01200,"1,355",Not available,01
43,79 RUE DE LA REPUBLIQUE,BELLEGARDE,Not available,Not available,01200,Not available,Not available,01
44, Chemin de la Brunette,FERNEY-VOLTAIRE,Not available,"1,249",01210,"1,375","1,405",01
45,ROUTE DE GENEVE,FERNEY-VOLTAIRE,"1,414","1,317",01210,Not available,"1,524",01
46,Route de Meyrin,FERNEY-VOLTAIRE,"1,310","1,220",01210,"1,350",Not available,01
47,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,Not available,"1,267",01220,Not available,"1,426",01
48,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,Not available,"1,300",01230,"1,430","1,480",01
49,RD 1504,Torcieu,Not available,"1,300",01230,"1,440",Not available,01
50,A 40 - AIRE DE BOURG JASSERON,Jasseron,Not available,Not available,01250,Not available,Not available,01
51,AIRE DE BOURG TEYSONGUE A 40,Ceyzériat,"1,494","1,394",01250,Not available,Not available,01
52,route de la Vavrette,TOSSIAT,Not available,"1,289",01250,"1,429","1,459",01
53,AUTOROUTE A40 - AIRE DE BOURG JASSERON,CEYZERIAT,"1,484","1,394",01250,Not available,"1,594",01
54, Grande Rue,COLIGNY,Not available,Not available,01270,Not available,Not available,01
55,Route de Chatillon Sur Chalaronne,LAIZ,"1,290","1,190",01290,Not available,"1,380",01
56,Boulevard de Verdun,Belley,Not available,"1,248",01300,"1,373","1,400",01
57, Rue Mante,BELLEY,Not available,"1,250",01300,"1,383",Not available,01
58,RN 504 - ZI de Penaye ,Chazey-Bons,Not available,"1,225",01300,"1,348","1,364",01
59,1123 Route de Mâcon,POLLIAT,"1,409","1,297",01310,Not available,"1,519",01
60,Lieu-dit Logis-Neuf,Confrançon,Not available,"1,244",01310,"1,368","1,406",01
61,Grande Rue,CHALAMONT,Not available,"1,350",01320,"1,490",Not available,01
62,Chemin du Petit Étang,Chalamont,"1,339","1,239",01320,"1,399",Not available,01
63,"245, Route du 3 Septembre 1944",Ambérieux-en-Dombes,Not available,"1,329",01330,"1,459","1,529",01
64,zac de la tuilerie,VILLARS-LES-DOMBES,"1,329","1,219",01330,"1,359","1,409",01
65,Rue des Luyers,MONTREVEL-EN-BRESSE,Not available,"1,211",01340,"1,360","1,394",01
66,RN.75,Malafretaz,"1,409","1,307",01340,Not available,"1,519",01
67,Les Cézilles,Jayat,Not available,"1,211",01340,"1,360","1,394",01
68,771 Route de Bourg,ATTIGNAT,Not available,"1,329",01340,"1,449","1,485",01
69, Avenue Jean Falconnier,CULOZ,Not available,"1,229",01350,"1,379","1,409",01
70,PARC D'ACTIVITE DES FOURS,Béon,"1,309","1,227",01350,"1,324","1,379",01
71, Route de Lyon,BALAN,Not available,"1,319",01360,"1,469","1,539",01
72, Route de Strasbourg,SAINT-ÉTIENNE-DU-BOIS,Not available,"1,318",01370,"1,478","1,498",01
73,40 Chemin de la Bergaderie,Saint-Étienne-du-Bois,"1,299","1,212",01370,Not available,"1,395",01
74,1 Route du Bourg,BAGE LA VILLE,"1,299","1,229",01380,"1,349",Not available,01
75,Allées des Marronniers,Saint-André-de-Corcy,Not available,"1,219",01390,"1,359","1,409",01
76,Z.I. DE CURE,Saint-André-de-Corcy,"1,395","1,297",01390,Not available,"1,505",01
77,AIRE DE MIONNAY OUEST GALMIER A46,MIONNAY,Not available,Not available,01390,Not available,Not available,01
78,Aire de Mionnay Est Chatanay,Mionnay,Not available,Not available,01390,Not available,Not available,01
79,AIRE DE MIONNAY EST CHATANAY AUTOROUTE A 46,MIONNAY,"1,528","1,428",01390,Not available,"1,648",01
80,AIRE DE MIONNAY OUEST SAINT GALMIER,MIONNAY,"1,524","1,428",01390,Not available,"1,664",01
81,AVENUE MARECHAL FOCH,CHATILLON-SUR-CHALARONNE,Not available,"1,219",01400,"1,358","1,398",01
82,AVENUE PIERRE MARCAULT,CHATILLON SUR CHALARONNE,Not available,Not available,01400,Not available,Not available,01
83,ROUTE DE MARLIEUX,CHATILLON SUR CHALARONNE,"1,290","1,208",01400,"1,358","1,398",01
84,AUTOROUTE A 40 - SENS PARIS PROV,CEIGNES,Not available,Not available,01430,Not available,Not available,01
85,AIRE DE CEIGNES HAUT BUGEY,CEIGNES,"1,538","1,438",01430,Not available,"1,638",01
86,2 Rue de l'Égalité,Maillat,"1,432","1,337",01430,"1,472",Not available,01
87,AUTOROUTE A40 - AIRE DE CEIGNES CERDON,CEIGNES,"1,464","1,384",01430,Not available,"1,574",01
88,1029 ROUTE DE MARBOZ-LOUHANS,VIRIAT,Not available,"1,350",01440,"1,440",Not available,01
89, Route de Strasbourg,VIRIAT,"1,399","1,312",01440,Not available,"1,509",01
90,261 Route de Paris,Viriat,Not available,"1,279",01440,"1,419","1,449",01
91,68 Rue du Jura,MONTREAL-LA-CLUSE,Not available,"1,237",01460,"1,365","1,399",01
92,Route de Berthiand,Nurieux-Volognat,Not available,"1,290",01460,"1,430",Not available,01
93,Rue de l'industrie ,Port,"1,309","1,229",01460,"1,349","1,399",01
94,LES GRANGES DE MONTAGNIEU,Montagnieu,Not available,Not available,01470,Not available,Not available,01
95, Rue des Verchères,BRIORD,"1,312","1,229",01470,Not available,"1,390",01
96, Rue Édouard Herriot,JASSANS-RIOTTIER,Not available,"1,229",01480,"1,374","1,409",01
97,Rue Alexandre Bérard,Ambérieu-en-Bugey,Not available,"1,229",01500,"1,339","1,418",01
98,"550, Avenue Jean Mermoz",CHâTEAU-GAILLARD,Not available,"1,379",01500,"1,498",Not available,01
99,15 Avenue de la Libération,AMBéRIEU-EN-BUGEY,Not available,"1,369",01500,"1,498","1,549",01
100,"550, RUE JEAN MERMOZ",CHâTEAU-GAILLARD,Not available,"1,379",01500,"1,498",Not available,01
101,CENTRE COMMERCIAL DE L'AVIATIONRAIS,Ambérieu-en-Bugey,"1,299","1,229",01500,"1,339",Not available,01
102,Chef Lieu,Virieu-le-Grand,Not available,"1,330",01510,"1,480","1,510",01
103,"1 rue des champs ""les terrasses""",Artemare,Not available,"1,225",01510,"1,349","1,389",01
104,Route de Neuville,VONNAS,Not available,"1,215",01540,"1,341","1,365",01
105,za les grands varays rte de neuville,Vonnas,"1,298","1,215",01540,"1,333",Not available,01
106,Route de Pont-de-Vaux,Saint-Trivier-de-Courtes,Not available,"1,221",01560,"1,361","1,385",01
107,Grande Rue,FEILLENS,Not available,"1,230",01570,"1,353",Not available,01
108,Rue du 21 Juillet 1944,DORTAN,Not available,"1,325",01590,"1,439","1,479",01
109,ZAC sous la Combe,LAVANCIA-EPERCY,"1,335","1,229",01590,"1,385",Not available,01
110,Rue du Figuier,MIRIBEL,Not available,"1,217",01600,"1,356","1,391",01
111,324 Route de Lyon,TREVOUX,Not available,"1,218",01600,"1,359","1,385",01
112,Avenue Lavoisier,MASSIEUX,"1,313","1,216",01600,Not available,"1,389",01
113,RUE DE GENEVE -,SAINT-GENIS-POUILLY,Not available,"1,295",01630,"1,415",Not available,01
114,148 Rue des Chalets,SAINT-GENIS-POUILLY,"1,310","1,220",01630,Not available,"1,395",01
115,ZA DU PRE MUNNY,PéRON,"1,310","1,220",01630,Not available,"1,395",01
116,573 route de Genève,Saint-Jean-le-Vieux,Not available,"1,389",01640,"1,499",Not available,01
117,RN 83,Miribel,"1,328","1,217",01700,Not available,"1,414",01
118,ZAC des Beterses,BEYNOST,"1,309","1,213",01700,"1,356","1,391",01
119,route de Bellegarde,THOIRY,Not available,"1,225",01710,"1,355","1,395",01
120,223 route de Bourg-en-Bresse,Replonges,"1,299","1,229",01750,"1,349",Not available,01
121,47 Route de Lyon,MEXIMIEUX,Not available,"1,218",01800,"1,356","1,391",01
122,11 route de Port-Galland,Saint-Maurice-de-Gourdans,Not available,"1,380",01800,"1,530",Not available,01
123,ROUTE DE CHALAMONT,Meximieux,"1,304","1,221",01800,"1,348","1,389",01
124,Chemin de Bellevue,PERONNAS,Not available,"1,222",01960,"1,361","1,395",01
125,148 Avenue de Lyon,PéRONNAS,Not available,Not available,01960,Not available,Not available,01
126,148 Avenue de Lyon,PéRONNAS,"1,418","1,308",01960,Not available,"1,488",01
127,63 Rue du Bugey,LOYETTES,Not available,"1,307",01980,"1,439",Not available,01
128,ZAC ILE DE FRANCE,LAON,Not available,"1,227",02000,"1,385","1,417",02
129,16 RUE FERNAND CHRIST,LAON,Not available,"1,229",02000,"1,399","1,439",02
130,44 Avenue Charles de Gaulle,Laon,Not available,Not available,02000,Not available,Not available,02
131,97 Avenue Charles de Gaulle,Laon,"1,418","1,324",02000,Not available,"1,528",02
132,16 Boulevard Pierre Brossolette,Laon,"1,369","1,222",02000,Not available,"1,449",02
133,rue Jean Jaures,CHAMBRY,"1,339","1,222",02000,Not available,"1,405",02
134,167 Avenue Pierre Mendès France,Laon,"1,339","1,222",02000,"1,385",Not available,02
135,RUE DU DR MENU,Laon,Not available,"1,230",02000,"1,385","1,420",02
136,Route d'AMIENS,SAINT-QUENTIN,Not available,"1,226",02100,"1,375","1,405",02
137,51 Avenue du Général de Gaulle,SAINT-QUENTIN,Not available,Not available,02100,Not available,Not available,02
138,Boulevard Camille Guérin,SAINT-QUENTIN,Not available,Not available,02100,Not available,Not available,02
139,46 Avenue Faidherbe,Saint-Quentin,"1,347","1,226",02100,Not available,"1,428",02
140,Route de Guise,HARLY,"1,320","1,223",02100,Not available,"1,398",02
141,98 rue Alexandre Dumas,SAINT-QUENTIN,"1,345","1,229",02100,Not available,"1,425",02
142,Route de BOHAIN,Saint-Quentin,"1,320","1,233",02100,"1,369","1,404",02
143,Rue Antoine Parmentier,SAINT-QUENTIN,"1,346","1,229",02100,"1,386",Not available,02
